Carimbo de data/hora,otica,Data,servicos,valor
11/11/2024 20:37:23,otica-ampla-visao,11/11/2024,1 mola,20
11/11/2024 20:56:10,otica-sao-braz,11/11/2024,2 molas,40
11/11/2024 21:06:17,isa-batel,11/11/2024,1 ajuste,10
11/11/2024 21:21:25,preco-popular-duda-loja3,11/11/2024,1 solda,16
12/11/2024 07:44:47,otica-ampla-visao,12/11/2024,1 tirar grude,20
12/11/2024 08:03:20,outlet-dos-oculos,12/11/2024,2 molas + 1 ajuste + 2 consertos+ peças,86
12/11/2024 10:19:47,otica-marine,12/11/2024,1 mola,20
12/11/2024 12:16:14,outlet-dos-oculos,12/11/2024,1 solda + peça,18
12/11/2024 13:43:44,preco-pop-alm-tamandare,12/11/2024,1 solda,16
12/11/2024 14:12:44,otica-teffe,12/11/2024,1 mola,20
12/11/2024 14:22:54,sao-braz-ecoville,12/11/2024,2 molas,40
12/11/2024 14:38:08,otica-perfil,12/11/2024,1 ajuste,10
12/11/2024 14:49:10,otica-zonatto,12/11/2024,2 molas,40
12/11/2024 15:51:11,otica-viena,12/11/2024,os747 1 mola,20
12/11/2024 16:08:07,otica-ipanema,12/11/2024,2 ajustes,20
12/11/2024 16:12:58,preco-pop-fazenda,12/11/2024,1 par de haste,32
12/11/2024 17:06:50,preco-popular-cic,12/11/2024,1 mola,20
12/11/2024 17:29:32,preco-popular-cic,12/11/2024,1 solda + peça,18
12/11/2024 17:44:30,otica-sao-braz,12/11/2024,2 molas,40
12/11/2024 18:48:01,otica-teffe,12/11/2024,1 mola + 1 solda,36
12/11/2024 18:52:23,sao-braz-ecoville,12/11/2024,1 ajuste,10
12/11/2024 18:57:39,opticolor,12/11/2024,1 conserto,16
12/11/2024 19:25:52,otica-visiolux,12/11/2024,1 mola + 1 solda + 1 ajuste,46
12/11/2024 19:44:27,estilo-visao,12/11/2024,1 conserto,16
12/11/2024 19:49:35,preco-popular-duda-loja3,12/11/2024,1 solda,16
13/11/2024 11:40:43,outlet-dos-oculos,13/11/2024,2 par de haste + 1 solda,76
13/11/2024 12:07:03,vista-alegre,13/11/2024,1 conserto,16
13/11/2024 13:43:23,otica-malosti,13/11/2024,1 ajuste,10
13/11/2024 14:46:46,otica-ampla-visao,13/11/2024,1 solda + peça,18
13/11/2024 14:57:07,preco-popular-cic,13/11/2024,1 mola,20
13/11/2024 16:53:30,exame-visao,13/11/2024,1 mola + 1 par de haste,45
13/11/2024 18:13:26,opticolor,13/11/2024,1 par de haste,30
14/11/2024 10:33:03,outlet-dos-oculos,14/11/2024,1 conserto + 2 soldas,48
14/11/2024 10:38:49,otica-marine,14/11/2024,1 ajuste,10
14/11/2024 12:48:28,otica-malosti,14/11/2024,1 ajuste,10
14/11/2024 14:43:04,otica-ipanema,14/11/2024,1 conserto,16
14/11/2024 18:29:07,preco-pop-fazenda,14/11/2024,1 mola,20
14/11/2024 18:37:34,otica-central,14/11/2024,1 solda,16
14/11/2024 18:45:54,estilo-visao,14/11/2024,1 ajuste,10
14/11/2024 18:53:38,otica-visiolux,14/11/2024,1 solda,16
18/11/2024 09:15:56,outlet-dos-oculos,18/11/2024,2 molas + 2 consertos + 1 ponteira,84
18/11/2024 14:23:10,opticolor,18/11/2024,1 solda,16
18/11/2024 18:00:30,otica-ampla-visao,18/11/2024,2 soldas + 1 peça,34
18/11/2024 18:16:15,otica-viena,18/11/2024,os749 1 par de haste,32
18/11/2024 18:52:42,preco-popular-duda-loja3,18/11/2024,1 conserto,16
18/11/2024 19:10:07,sao-braz-ecoville,18/11/2024,1 conserto + peça,20
18/11/2024 19:19:04,otica-teffe,18/11/2024,1 solda,16
18/11/2024 19:23:12,otica-anita,18/11/2024,1 mola,20
18/11/2024 20:08:17,otica-sao-braz,18/11/2024,1 solda + peça,18
18/11/2024 20:17:34,preco-pop-fazenda,18/11/2024,1 mola,20
18/11/2024 20:19:33,preco-pop-fazenda,18/11/2024,1 mola + 1 ajuste,30
18/11/2024 20:22:16,exame-visao,18/11/2024,1 solda,16
18/11/2024 20:23:28,otica-marine,18/11/2024,1 ajuste,5
18/11/2024 20:23:39,otica-marine,18/11/2024,1 solda + peça,18
19/11/2024 10:37:52,outlet-dos-oculos,19/11/2024,3 molas,60
19/11/2024 13:18:34,otica-marin,19/11/2024,1 mola,20
19/11/2024 14:31:17,otica-anita,19/11/2024,2 molas,40
19/11/2024 15:14:31,martini,19/11/2024,1 solda,16
19/11/2024 17:19:48,otica-viena,19/11/2024,os752 1 mola,20
19/11/2024 18:47:41,otica-ampla-visao,19/11/2024,1 conserto,16
21/11/2024 07:06:50,otica-visoluz,19/11/2024,2 molas,40
21/11/2024 09:53:09,outlet-dos-oculos,21/11/2024,1 mola + 1 ajuste,30
21/11/2024 11:15:17,preco-pop-alm-tamandare,21/11/2024,2 soldas,32
21/11/2024 13:32:50,otica-malosti,21/11/2024,1 solda + 1 mola + 1 conserto,52
21/11/2024 14:04:45,preco-popular-duda-loja3,21/11/2024,2 soldas,32
21/11/2024 14:18:19,otica-anita,21/11/2024,1 mola,20
21/11/2024 14:28:50,sao-braz-ecoville,21/11/2024,1 solda + peça,18
21/11/2024 15:18:52,otica-marine,21/11/2024,1 ajuste,5
21/11/2024 17:02:31,martini,21/11/2024,1 mola,20
21/11/2024 17:13:17,preco-pop-fazenda,21/11/2024,1 ajuste + 1 mola,30
21/11/2024 17:32:03,otica-zonatto,21/11/2024,1 solda,16
21/11/2024 18:25:26,preco-pop-fazenda,21/11/2024,4 molas + 1 conserto,96
21/11/2024 18:27:56,exame-visao,21/11/2024,1 par de haste,28
21/11/2024 19:20:22,otica-sao-braz,21/11/2024,1 conserto,16
21/11/2024 19:26:46,otica-teffe,21/11/2024,1 solda,16
21/11/2024 19:29:01,otica-ampla-visao,21/11/2024,1 conserto,16
21/11/2024 19:30:49,otica-marine,21/11/2024,1 ajuste,10
21/11/2024 19:31:02,preco-popular-duda-loja3,21/11/2024,2 consertos + 1 peça,34
22/11/2024 09:38:53,outlet-dos-oculos,22/11/2024,1 mola,20
22/11/2024 13:10:42,otica-ipanema,22/11/2024,1 polimento,25
22/11/2024 13:24:12,preco-popular-cic,22/11/2024,2 molas,40
22/11/2024 14:13:23,sao-braz-ecoville,22/11/2024,1 mola,20
22/11/2024 14:20:27,preco-popular-duda-loja3,22/11/2024,1 conserto + peça,18
22/11/2024 14:27:09,otica-perfil,22/11/2024,2 plaquetas RB,24
22/11/2024 14:47:51,opticolor,22/11/2024,1 mola + 1 plaq RB,32
22/11/2024 14:52:14,otica-visiolux,22/11/2024,1 ajuste,10
22/11/2024 15:01:37,klim-otica,22/11/2024,1 conserto + 1 solda + peça,34
22/11/2024 16:08:14,otica-viena,22/11/2024,os756 1 solda + os754 1 ajuste,26
22/11/2024 17:05:21,otica-anita,22/11/2024,1 solda,16
22/11/2024 17:50:18,preco-pop-alm-tamandare,22/11/2024,1 solda,16
22/11/2024 19:21:07,otica-visiolux,22/11/2024,1 ajuste + 1 mola,30
22/11/2024 19:43:46,klim-otica,22/11/2024,1 conserto,16
23/11/2024 08:40:11,otica-zonatto,23/11/2024,1 conserto + peça,18
23/11/2024 10:19:09,otica-central,23/11/2024,1 ponteira,12
25/11/2024 14:18:06,otica-visiolux,25/11/2024,1 mola,20
25/11/2024 14:21:28,opticolor,25/11/2024,1 ponteira,12
25/11/2024 14:52:31,otica-teffe,25/11/2024,2 soldas + 1 mola,52
25/11/2024 15:52:30,otica-central,25/11/2024,1 conserto,16
25/11/2024 16:58:19,otica-ampla-visao,25/11/2024,1 solda,16
25/11/2024 17:47:19,sao-braz-ecoville,25/11/2024,1 mola,20
25/11/2024 17:47:29,otica-sao-braz,25/11/2024,1 solda,16
25/11/2024 19:20:47,preco-pop-fazenda,25/11/2024,1 mola,20
25/11/2024 19:26:28,preco-pop-fazenda,25/11/2024,1 conserto + peça,18
25/11/2024 19:33:54,otica-viena,25/11/2024,os757 1 conserto + peça,18
25/11/2024 19:45:56,scarpim,25/11/2024,1 solda + 1 conserto,32
25/11/2024 20:09:06,sao-braz-ecoville,25/11/2024,2 molas,40
25/11/2024 20:21:03,otica-teffe,25/11/2024,1 solda + peça,18
25/11/2024 20:26:36,otica-visiolux,25/11/2024,1 solda + peça,18
26/11/2024 07:14:10,otica-marine,25/11/2024,1 mola,20
26/11/2024 07:19:57,otica-ipanema,25/11/2024,1 ajuste,10
26/11/2024 07:32:12,preco-popular-cic,25/11/2024,1 solda + peça + 1 conserto + peça,36
26/11/2024 07:56:09,otica-perfil,25/11/2024,1 par de haste + 1 ajuste,45
26/11/2024 07:56:37,otica-marin,25/11/2024,1 conserto,16
26/11/2024 08:11:30,klim-otica,25/11/2024,1 conserto + 1 solda,34
26/11/2024 08:47:21,otica-marin,25/11/2024,1 conserto,16
26/11/2024 09:25:52,isa-batel,26/11/2024,1 mola + 1 conserto + 1 ajuste,46
26/11/2024 11:04:23,otica-visoluz,26/11/2024,1 conserto,16
26/11/2024 12:42:02,outlet-dos-oculos,26/11/2024,1 mola + 1 solda,36
